NPI,PROVIDER_FIRST_NAME,PROVIDER_LAST_NAME,SPECIALTY,DEPARTMENT,KP_REGION,FACILITY,PROVIDER_TYPE,DEA_NUMBER,LICENSE_STATE,HIRE_DATE,STATUS,PANEL_SIZE,ACCEPTS_NEW_PATIENTS
1558088094,Carol,Reyes,Neurology,Neurology,HI,Maui Lani Medical Office,MD,DEA6663536,WA,2005-04-22,ACTIVE,753,Y
1456304472,Laura,Ramirez,Ophthalmology,Ophthalmology,HI,Maui Lani Medical Office,PA,DEA2812556,MD,2016-09-10,INACTIVE,575,Y
1559113157,Sandra,Morales,Nephrology,Nephrology,SCAL,Irvine Medical Center,PA,DEA9708130,VA,2020-01-16,ACTIVE,1637,N
1299996216,Helen,Garcia,Pediatrics,Pediatrics,SCAL,Irvine Medical Center,RN,DEA3262961,VA,2015-02-25,ACTIVE,2174,Y
1007635314,Michelle,Stewart,Urology,Urology,HI,Moanalua Medical Center,MD,DEA5356117,CO,2013-07-18,ACTIVE,1865,Y
1411425143,Carol,Young,Dermatology,Dermatology,SCAL,Fontana Medical Center,MD,DEA2710841,OR,2022-01-29,ACTIVE,1635,N
1122675335,Linda,Ramirez,Cardiology,Cardiology,MAS,Tysons Corner Medical Center,LCSW,DEA5432844,OR,2005-10-13,ACTIVE,1433,Y
1522095102,Cynthia,Lewis,Pediatrics,Pediatrics,MAS,Tysons Corner Medical Center,MD,DEA7044762,OR,2010-08-23,ACTIVE,1966,Y
1468344729,Cynthia,Murphy,OB/GYN,OB/GYN,HI,Moanalua Medical Center,DO,DEA2511679,CA,2007-09-13,ACTIVE,782,Y
1627547806,Amanda,Jackson,Urology,Urology,SCAL,Downey Medical Center,NP,DEA4092589,WA,2010-06-17,ACTIVE,209,Y
1570632548,Laura,White,Internal Medicine,Internal Medicine,GA,Crescent Center,MD,DEA3976236,MD,2013-02-01,ACTIVE,1212,N
1435717788,Angela,Green,Ophthalmology,Ophthalmology,NW,Interstate Medical Office,MD,DEA4479450,HI,2009-02-09,INACTIVE,748,N
1950376836,Paul,Turner,Surgery,Surgery,NW,Interstate Medical Office,DO,DEA1854326,DC,2019-11-13,ACTIVE,2028,N
1439351856,Linda,Allen,Oncology,Oncology,SCAL,Los Angeles Medical Center,RN,DEA3461226,HI,2009-06-25,ACTIVE,1368,Y
1840913186,Jeffrey,Jackson,Surgery,Surgery,HI,Moanalua Medical Center,NP,DEA8207315,WA,2013-06-17,ACTIVE,2168,N
1836000090,Margaret,Nguyen,OB/GYN,OB/GYN,HI,Moanalua Medical Center,MD,DEA2698419,CO,2007-05-26,ACTIVE,1519,Y
1349375536,Deborah,King,Pulmonology,Pulmonology,MAS,Capitol Hill Medical Center,NP,DEA9872142,OR,2020-02-15,ACTIVE,1272,Y
1310513539,Jason,Anderson,OB/GYN,OB/GYN,NCAL,Fremont Medical Center,DO,DEA8499775,CA,2015-11-13,ACTIVE,513,Y
1236975850,Robert,Martin,Urology,Urology,HI,Maui Lani Medical Office,MD,DEA9137878,HI,2007-07-10,ACTIVE,2122,Y
1081064427,Michelle,Carter,Surgery,Surgery,GA,Town Center Medical Office,MD,DEA2941777,GA,2011-04-19,ACTIVE,2043,Y
1340714056,Rebecca,Thompson,OB/GYN,OB/GYN,HI,Maui Lani Medical Office,NP,DEA9906377,CA,2007-08-27,INACTIVE,1218,N
1397758282,James,White,Cardiology,Cardiology,MID,Mid-Atlantic Medical Center,PA,DEA7309025,CA,2020-12-09,ACTIVE,1172,N
1377185530,Nicholas,Hall,Rheumatology,Rheumatology,NW,Interstate Medical Office,MD,DEA5902870,OR,2023-10-12,ACTIVE,461,N
